File,Source_Contract,Source_Function,Target_Contract,Chain
ParaSwapLiquiditySwapAdapter.sol,ParaSwapLiquiditySwapAdapter,swapAndDeposit,ParaSwapLiquiditySwapAdapter,nonReentrant
CollectorController.sol,CollectorController,approve,CollectorController,onlyOwner
CollectorController.sol,CollectorController,transfer,CollectorController,onlyOwner
AdminControlledEcosystemReserve.sol,AdminControlledEcosystemReserve,approve,AdminControlledEcosystemReserve,onlyFundsAdmin
AdminControlledEcosystemReserve.sol,AdminControlledEcosystemReserve,transfer,AdminControlledEcosystemReserve,onlyFundsAdmin
AdminControlledEcosystemReserve.sol,AdminControlledEcosystemReserve,_setFundsAdmin,None,NewFundsAdmin
Collector.sol,Collector,initialize,Collector,initializer
Collector.sol,Collector,approve,Collector,onlyFundsAdmin
Collector.sol,Collector,transfer,Collector,onlyFundsAdmin
Collector.sol,Collector,setFundsAdmin,Collector,onlyFundsAdmin
Collector.sol,Collector,_setFundsAdmin,None,NewFundsAdmin
AaveEcosystemReserveController.sol,AaveEcosystemReserveController,approve,AaveEcosystemReserveController,onlyOwner
AaveEcosystemReserveController.sol,AaveEcosystemReserveController,transfer,AaveEcosystemReserveController,onlyOwner
AaveEcosystemReserveController.sol,AaveEcosystemReserveController,createStream,AaveEcosystemReserveController,onlyOwner
AaveEcosystemReserveController.sol,AaveEcosystemReserveController,withdrawFromStream,AaveEcosystemReserveController,onlyOwner
AaveEcosystemReserveController.sol,AaveEcosystemReserveController,cancelStream,AaveEcosystemReserveController,onlyOwner
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,initialize,AaveEcosystemReserveV2,initializer
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,getStream,AaveEcosystemReserveV2,streamExists
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,deltaOf,AaveEcosystemReserveV2,streamExists
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,balanceOf,AaveEcosystemReserveV2,streamExists
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,createStream,AaveEcosystemReserveV2,No chain
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,createStream,AaveEcosystemReserveV2,No chain
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,createStream,AaveEcosystemReserveV2,onlyFundsAdmin
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,createStream,None,CreateStream
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,withdrawFromStream,AaveEcosystemReserveV2,nonReentrant
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,withdrawFromStream,AaveEcosystemReserveV2,streamExists
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,withdrawFromStream,AaveEcosystemReserveV2,onlyAdminOrRecipient
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,withdrawFromStream,None,WithdrawFromStream
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,cancelStream,AaveEcosystemReserveV2,nonReentrant
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,cancelStream,AaveEcosystemReserveV2,streamExists
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,cancelStream,AaveEcosystemReserveV2,onlyAdminOrRecipient
AaveEcosystemReserveV2.sol,AaveEcosystemReserveV2,cancelStream,None,CancelStream
SafeERC20.sol,SafeERC20,safeApprove,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeApprove,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeIncreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeIncreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeDecreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeDecreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,_callOptionalReturn,SafeERC20,No chain
SafeERC20.sol,SafeERC20,_callOptionalReturn,SafeERC20,No chain
SafeERC20.sol,SafeERC20,_callOptionalReturn,SafeERC20,No chain
Address.sol,Address,sendValue,Address,No chain
Address.sol,Address,sendValue,Address,No chain
Address.sol,Address,functionCallWithValue,Address,No chain
Address.sol,Address,functionCallWithValue,Address,No chain
PriceOracle.sol,PriceOracle,setAssetPrice,PriceOracle,AssetPriceUpdated
PriceOracle.sol,PriceOracle,setEthUsdPrice,PriceOracle,EthPriceUpdated
SequencerOracle.sol,SequencerOracle,setAnswer,SequencerOracle,onlyOwner
MockAggregator.sol,MockAggregator,constructor,MockAggregator,AnswerUpdated
MockFlashLoanReceiver.sol,MockFlashLoanReceiver,constructor,MockFlashLoanReceiver,No Chain
MockFlashLoanReceiver.sol,MockFlashLoanReceiver,executeOperation,MockFlashLoanReceiver,No chain
MockFlashLoanReceiver.sol,MockFlashLoanReceiver,executeOperation,MockFlashLoanReceiver,No chain
MockFlashLoanReceiver.sol,MockFlashLoanReceiver,executeOperation,MockFlashLoanReceiver,ExecutedWithFail
MockFlashLoanReceiver.sol,MockFlashLoanReceiver,executeOperation,MockFlashLoanReceiver,ExecutedWithSuccess
MockSimpleFlashLoanReceiver.sol,MockFlashLoanSimpleReceiver,constructor,MockFlashLoanSimpleReceiver,No Chain
MockSimpleFlashLoanReceiver.sol,MockFlashLoanSimpleReceiver,executeOperation,MockFlashLoanSimpleReceiver,No chain
MockSimpleFlashLoanReceiver.sol,MockFlashLoanSimpleReceiver,executeOperation,MockFlashLoanSimpleReceiver,No chain
